Approach,Model,Accuracy,Precision,Recall,F1-Score
Computer Vision (OpenCV),Random Forest,0.984251968503937,0.9842370952353023,0.984251968503937,0.9841949710922495
Computer Vision (OpenCV),SVM,0.984251968503937,0.9843833092537744,0.984251968503937,0.9842919627963919
Computer Vision (OpenCV),KNN,0.9653543307086614,0.9661275086013021,0.9653543307086614,0.9652684079083439
Classical ML (Raw Pixels),Random Forest,0.8708661417322835,0.8745250360331992,0.8708661417322835,0.8659126211580019
Classical ML (Raw Pixels),SVM,0.9291338582677166,0.9294982658758737,0.9291338582677166,0.9291781751195716
Classical ML (Raw Pixels),KNN,0.8094488188976378,0.8553084693713642,0.8094488188976378,0.8156962881014913
