Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
RandomForest,0.7653543307086614,0.8109232976920079,0.7653543307086614,0.7502914096713568,0.9603235489184695
SVM,0.925984251968504,0.9267413907019296,0.925984251968504,0.9253845620874257,0.9892558842663628
KNN,0.84251968503937,0.851352772540997,0.84251968503937,0.8432310245019491,0.9578012801212381
